City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Niamey,NE,13.5137,2.1098,97.23,34,51,3.29,broken clouds
80,Dallas,US,32.7668,-96.7836,74.98,97,100,4.61,very heavy rain
81,Port Hedland,AU,-20.3167,118.5667,71.53,36,0,11.34,clear sky
82,Lodingen,NO,68.414,15.9951,50.38,85,83,24.96,broken clouds
83,Latung,PH,5.5,120.8833,84.36,66,100,4.83,overcast clouds
84,Faanui,PF,-16.4833,-151.75,77.59,76,100,17.6,light rain
85,Grindavik,IS,63.8424,-22.4338,51.39,83,100,11.45,overcast clouds
86,Finnsnes,NO,69.2296,17.9811,55.76,72,80,23.06,broken clouds
87,Atar,MR,20.5169,-13.0499,104.18,20,50,6.08,scattered clouds
88,Vila Velha,BR,-20.3297,-40.2925,69.94,76,96,13.0,overcast clouds
89,Ust-Nera,RU,64.5667,143.2,52.07,97,100,2.64,light rain
90,Kouvola,FI,60.8667,26.7,64.24,96,100,3.91,overcast clouds
91,Bethel,US,41.3712,-73.414,75.02,69,100,3.36,overcast clouds
92,Upernavik,GL,72.7868,-56.1549,42.13,58,100,4.32,overcast clouds
93,Dingle,PH,10.9995,122.6711,76.08,86,100,6.17,overcast clouds
94,Tuktoyaktuk,CA,69.4541,-133.0374,37.94,72,86,8.86,overcast clouds
95,Cidreira,BR,-30.1811,-50.2056,63.05,62,0,5.08,clear sky
96,Lorengau,PG,-2.0226,147.2712,81.27,78,31,9.8,scattered clouds
97,Porto Walter,BR,-8.2686,-72.7439,86.25,33,17,3.87,few clouds
98,Veraval,IN,20.9,70.3667,80.87,89,100,19.13,overcast clouds
99,Ballina,AU,-28.8667,153.5667,55.78,86,1,11.01,clear sky
100,Tasiilaq,GL,65.6145,-37.6368,39.22,80,57,1.48,broken clouds
101,Ancud,CL,-41.8697,-73.8203,50.61,86,100,7.43,overcast clouds
102,Zvishavane,ZW,-20.3267,30.0665,65.41,38,46,6.96,scattered clouds
103,Dikson,RU,73.5069,80.5464,41.79,95,100,15.3,overcast clouds
104,Cayenne,GF,4.9333,-52.3333,81.39,73,90,2.15,overcast clouds
105,Teeli,RU,51.0333,90.2333,50.77,77,99,3.22,overcast clouds
106,Sucua,EC,-2.4667,-78.1667,76.57,54,57,4.5,light rain
107,Salalah,OM,17.0151,54.0924,75.43,96,100,2.06,overcast clouds
108,Camacha,PT,33.0833,-16.3333,69.48,83,100,16.08,overcast clouds
109,Dunedin,NZ,-45.8742,170.5036,49.8,78,43,8.01,scattered clouds
110,Maur,IN,30.0833,75.25,86.97,69,65,5.35,broken clouds
111,Visegrad,BA,43.7847,19.2992,67.05,91,81,4.23,moderate rain
112,Nyurba,RU,63.2842,118.3319,41.79,88,100,4.7,overcast clouds
